Year,ICD10 Code,ICD10 Diagnosis,Diagnosis Type,Metric,Sex,Value
2010/11,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Attributable number,Male,6100
2010/11,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Attributable number,Male,2000
2010/11,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Attributable number,Male,900
2010/11,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Attributable number,Male,5300
2010/11,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Attributable number,Male,1700
2010/11,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Attributable number,Male,.
2010/11,All codes,All admissions,All admissions,Number of admissions,Female,5346234
2010/11,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,All diseases which can be caused by smoking,Number of admissions,Female,690275
2010/11,C00-D48,All cancers,All cancers,Number of admissions,Female,746762
2010/11,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,Female,245028
2010/11,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,Female,379005
2010/11,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,Female,655661
2010/11,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,Female,35271
2010/11,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,Female,5729
2010/11,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,Female,8306
2010/11,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,Female,867
2010/11,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,Female,6500
2010/11,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,Female,19725
2010/11,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of admissions,Female,4792
2010/11,C16,Stomach,Cancers which can be caused by smoking,Number of admissions,Female,5808
2010/11,C25,Pancreas,Cancers which can be caused by smoking,Number of admissions,Female,10450
2010/11,C80,Unspecified Site,Cancers which can be caused by smoking,Number of admissions,Female,5086
2010/11,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of admissions,Female,16212
2010/11,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of admissions,Female,2846
2010/11,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of admissions,Female,57598
2010/11,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of admissions,Female,68924
2010/11,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,116840
2010/11,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,92430
2010/11,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,16902
2010/11,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,52080
2010/11,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of admissions,Female,2732
2010/11,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of admissions,Female,2986
2010/11,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of admissions,Female,11227
2010/11,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Number of admissions,Female,16328
2010/11,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Number of admissions,Female,3273
2010/11,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Number of admissions,Female,66925
2010/11,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Number of admissions,Female,47466
2010/11,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Number of admissions,Female,12972
2010/11,All codes,All admissions,All admissions,Attributable number,Female,174000
2010/11,C00-D48,All cancers,All cancers,Attributable number,Female,48300
2010/11,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Female,61200
2010/11,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Female,42600
2010/11,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,Female,9100
2010/11,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,Female,26200
2010/11,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,Female,2900
2010/11,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,Female,5100
2010/11,C32,Larynx,Cancers which can be caused by smoking,Attributable number,Female,700
2010/11,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Female,800
2010/11,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Female,6000
2010/11,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,Female,400
2010/11,C16,Stomach,Cancers which can be caused by smoking,Attributable number,Female,700
2010/11,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,Female,2700
2010/11,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,Female,1100
2010/11,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,Female,1600
2010/11,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,Female,2300
2010/11,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,Female,44900
2010/11,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,Female,14000
2010/11,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,12500
2010/11,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,17800
2010/11,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,3200
2010/11,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,7200
2010/11,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,Female,1500
2010/11,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,Female,400
2010/11,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Attributable number,Female,5200
2010/11,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Attributable number,Female,2600
2010/11,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Attributable number,Female,1300
2010/11,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Attributable number,Female,6900
2010/11,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Attributable number,Female,5400
2010/11,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Attributable number,Female,600
2009/10,All codes,All admissions,All admissions,Number of admissions,Male,4529773
2009/10,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,All diseases which can be caused by smoking,Number of admissions,Male,825362
2009/10,C00-D48,All cancers,All cancers,Number of admissions,Male,689255
2009/10,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,Male,229319
2009/10,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,Male,502292
2009/10,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,Male,611831
2009/10,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,Male,46523
2009/10,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,Male,13446
2009/10,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,Male,21937
2009/10,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,Male,3995
2009/10,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,Male,.
2009/10,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,Male,64167
2009/10,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of admissions,Male,9111
2009/10,C16,Stomach,Cancers which can be caused by smoking,Number of admissions,Male,15114
2009/10,C25,Pancreas,Cancers which can be caused by smoking,Number of admissions,Male,12196
2009/10,C80,Unspecified Site,Cancers which can be caused by smoking,Number of admissions,Male,4341
2009/10,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of admissions,Male,19842
2009/10,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of admissions,Male,3376
2009/10,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of admissions,Male,52346
2009/10,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of admissions,Male,62550
2009/10,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,135684
2009/10,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,188075
2009/10,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,24661
2009/10,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,49255
2009/10,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of admissions,Male,9167
2009/10,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of admissions,Male,4991
2009/10,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,12107
2009/10,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,11154
2009/10,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,1943
2009/10,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Number of admissions,Male,42566
2009/10,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Number of admissions,Male,16815
2009/10,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Number of admissions,Male,.
2009/10,All codes,All admissions,All admissions,Attributable number,Male,291100
2009/10,C00-D48,All cancers,All cancers,Attributable number,Male,116200
2009/10,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Male,61100
2009/10,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Male,97400
2009/10,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,Male,9500
2009/10,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,Male,40900
2009/10,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,Male,10000
2009/10,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,Male,15500
2009/10,C32,Larynx,Cancers which can be caused by smoking,Attributable number,Male,3300
2009/10,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Male,.
2009/10,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Male,29400
2009/10,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,Male,3200
2009/10,C16,Stomach,Cancers which can be caused by smoking,Attributable number,Male,4000
2009/10,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,Male,3000
2009/10,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,Male,2400
2009/10,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,Male,4600
2009/10,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,Male,3000
2009/10,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,Male,41900
2009/10,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,Male,16200
2009/10,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,25900
2009/10,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,50300
2009/10,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,4500
2009/10,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,9500
2009/10,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,Male,5900
2009/10,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,Male,1400
2009/10,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Attributable number,Male,6500
2009/10,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Attributable number,Male,2000
2009/10,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Attributable number,Male,900
2009/10,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Attributable number,Male,5200
2009/10,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Attributable number,Male,1600
2009/10,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Attributable number,Male,.
2009/10,All codes,All admissions,All admissions,Number of admissions,Female,5212710
2009/10,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,All diseases which can be caused by smoking,Number of admissions,Female,668129
2009/10,C00-D48,All cancers,All cancers,Number of admissions,Female,725845
2009/10,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,Female,223877
2009/10,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,Female,375614
2009/10,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,Female,630264
2009/10,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,Female,36344
2009/10,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,Female,5362
2009/10,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,Female,8686
2009/10,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,Female,733
2009/10,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,Female,6950
2009/10,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,Female,19610
2009/10,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of admissions,Female,4780
2009/10,C16,Stomach,Cancers which can be caused by smoking,Number of admissions,Female,6041
2009/10,C25,Pancreas,Cancers which can be caused by smoking,Number of admissions,Female,10990
2009/10,C80,Unspecified Site,Cancers which can be caused by smoking,Number of admissions,Female,5743
2009/10,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of admissions,Female,14602
2009/10,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of admissions,Female,2748
2009/10,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of admissions,Female,52094
2009/10,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of admissions,Female,58270
2009/10,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,113931
2009/10,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,94295
2009/10,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,16657
2009/10,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,51327
2009/10,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of admissions,Female,2623
2009/10,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of admissions,Female,2747
2009/10,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of admissions,Female,11489
2009/10,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Number of admissions,Female,15072
2009/10,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Number of admissions,Female,2934
2009/10,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Number of admissions,Female,62559
2009/10,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Number of admissions,Female,47401
2009/10,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Number of admissions,Female,14141
2009/10,All codes,All admissions,All admissions,Attributable number,Female,170600
2009/10,C00-D48,All cancers,All cancers,Attributable number,Female,49800
2009/10,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Female,55200
2009/10,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Female,43800
2009/10,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,Female,9100
2009/10,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,Female,27200
2009/10,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,Female,2800
2009/10,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,Female,5400
2009/10,C32,Larynx,Cancers which can be caused by smoking,Attributable number,Female,600
2009/10,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Female,900
2009/10,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Female,6100
2009/10,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,Female,400
2009/10,C16,Stomach,Cancers which can be caused by smoking,Attributable number,Female,800
2009/10,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,Female,2900
2009/10,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,Female,1300
2009/10,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,Female,1500
2009/10,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,Female,2300
2009/10,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,Female,40900
2009/10,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,Female,12000
2009/10,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,12500
2009/10,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,18900
2009/10,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,3200
2009/10,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,7300
2009/10,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,Female,1500
2009/10,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,Female,400
2009/10,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Attributable number,Female,5500
2009/10,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Attributable number,Female,2500
2009/10,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Attributable number,Female,1200
2009/10,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Attributable number,Female,6700
2009/10,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Attributable number,Female,5300
2009/10,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Attributable number,Female,700
2008/09,All codes,All admissions,All admissions,Number of admissions,Male,4388181
2008/09,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,All diseases which can be caused by smoking,Number of admissions,Male,824868
2008/09,C00-D48,All cancers,All cancers,Number of admissions,Male,1343656
2008/09,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,Male,466220
2008/09,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,Male,997450
2008/09,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,Male,1158562
2008/09,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,Male,46945
2008/09,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,Male,12464
2008/09,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,Male,23775
2008/09,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,Male,3910
2008/09,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,Male,.
2008/09,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,Male,65495
2008/09,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of admissions,Male,8424
2008/09,C16,Stomach,Cancers which can be caused by smoking,Number of admissions,Male,15643
2008/09,C25,Pancreas,Cancers which can be caused by smoking,Number of admissions,Male,11237
2008/09,C80,Unspecified Site,Cancers which can be caused by smoking,Number of admissions,Male,4996
2008/09,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of admissions,Male,19862
2008/09,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of admissions,Male,3383
2008/09,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of admissions,Male,55529
2008/09,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of admissions,Male,58747
2008/09,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,131438
2008/09,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,196424
2008/09,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,24213
2008/09,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,46598
2008/09,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of admissions,Male,9266
2008/09,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of admissions,Male,5024
2008/09,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,11875
2008/09,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,9696
2008/09,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,1709
2008/09,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Number of admissions,Male,42615
2008/09,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Number of admissions,Male,15599
2008/09,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Number of admissions,Male,.
2008/09,All codes,All admissions,All admissions,Attributable number,Male,292300
2008/09,C00-D48,All cancers,All cancers,Attributable number,Male,117300
2008/09,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Male,62400
2008/09,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Male,97100
2008/09,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,Male,8800
2008/09,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,Male,41200
2008/09,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,Male,9200
2008/09,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,Male,16800
2008/09,C32,Larynx,Cancers which can be caused by smoking,Attributable number,Male,3200
2008/09,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Male,.
2008/09,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Male,29900
2008/09,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,Male,3000
2008/09,C16,Stomach,Cancers which can be caused by smoking,Attributable number,Male,4100
2008/09,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,Male,2600
2008/09,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,Male,2700
2008/09,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,Male,4600
2008/09,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,Male,3000
2008/09,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,Male,44400
2008/09,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,Male,15000
2008/09,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,24700
2008/09,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,52200
2008/09,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,4200
2008/09,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,8600
2008/09,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,Male,5900
2008/09,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,Male,1400
2008/09,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Attributable number,Male,6300
2008/09,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Attributable number,Male,1700
2008/09,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Attributable number,Male,800
2008/09,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Attributable number,Male,5200
2008/09,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Attributable number,Male,1500
2008/09,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Attributable number,Male,.
2008/09,All codes,All admissions,All admissions,Number of admissions,Female,5052078
2008/09,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,All diseases which can be caused by smoking,Number of admissions,Female,667372
2008/09,C00-D48,All cancers,All cancers,Number of admissions,Female,1413356
2008/09,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,Female,462854
2008/09,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,Female,744716
2008/09,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,Female,1193996
2008/09,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,Female,35045
2008/09,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,Female,4951
2008/09,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,Female,9036
2008/09,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,Female,756
2008/09,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,Female,7117
2008/09,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,Female,19678
2008/09,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of admissions,Female,4519
2008/09,C16,Stomach,Cancers which can be caused by smoking,Number of admissions,Female,6201
2008/09,C25,Pancreas,Cancers which can be caused by smoking,Number of admissions,Female,11071
2008/09,C80,Unspecified Site,Cancers which can be caused by smoking,Number of admissions,Female,6592
2008/09,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of admissions,Female,14512
2008/09,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of admissions,Female,2896
2008/09,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of admissions,Female,55714
2008/09,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of admissions,Female,55809
2008/09,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,111306
